44376;62;28;99;9;213000;Newcastle;86;38000
56260;43;58;98;5;12700000;Arsenal;80;45000
45032;31;56;98;6;9300000;Manchester City;89;40000
51450;66;68;98;6;10700000;Liverpool;49;25000
50000;49;56;99;5;13900000;Chelsea;50;25000
39572;49;43;98;5;787000;Everton;80;32000
37250;63;30;97.1;4;2400000;Leicester City;62;23000
23844;66;38;94.3;5;416000;Southampton;84;20000
26961;69;30;97.5;6;339000;Stoke city;78;21000
26309;71;29;97;7;327000;Crystal Palace;68;18000
